iter	Passed	Remaining
0	138	6803
1	141	3384
2	143	2244
3	146	1681
4	148	1337
5	151	1108
6	153	942
7	155	817
8	157	717
9	159	639
10	162	575
11	164	520
12	166	474
13	168	433
14	170	398
15	173	368
16	175	340
17	178	316
18	180	294
19	182	273
20	184	255
21	187	238
22	189	222
23	191	207
24	194	194
25	196	181
26	198	169
27	201	158
28	203	147
29	205	137
30	208	127
31	210	118
32	212	109
33	214	101
34	217	93
35	220	85
36	222	78
37	224	70
38	226	64
39	229	57
40	231	50
41	234	44
42	236	38
43	238	32
44	240	26
45	243	21
46	245	15
47	247	10
48	249	5
49	252	0
